id,timestamp,source_ip,dest_ip,port,protocol,threat_type,severity,attack_category,confidence,details,dataset,country,city,latitude,longitude,dest_country,dest_city,dest_latitude,dest_longitude
95414,17:17:57,39.57.147.157,59.12.27.148,8080,HTTPS,Zero-Day Exploit,Critical,Web,0.98,Detected Zero-Day Exploit from external source,CSE-CIC-IDS 2018 (Enterprise API/Web Threats),United States,San Francisco,37.7749,-122.4194,India,Bengaluru,12.9716,77.5946
61063,17:17:57,184.200.156.217,251.155.23.86,21,HTTP,HTTP Flood on API Gateway,Critical,Network,1.0,Detected HTTP Flood on API Gateway from external source,CIC-BELL-DNS 2021 (DNS Abuse & Routing),United States,San Francisco,37.7749,-122.4194,Germany,Frankfurt,50.1109,8.6821
14066,17:17:57,46.14.210.253,128.140.109.73,80,HTTP,API Authentication Brute Force,Critical,Web,0.86,Detected API Authentication Brute Force from internal source,CIC-DDoS 2019 (HTTP Floods),Germany,Frankfurt,50.1109,8.6821,Canada,Toronto,43.65107,-79.347015
82369,17:17:57,171.167.8.219,224.136.242.67,123,UDP,REST Endpoint Enumeration,Critical,Application,0.99,Detected REST Endpoint Enumeration from external source,CIC-IDS 2017 (HTTP & Web Attacks),Japan,Tokyo,35.6895,139.6917,India,Bengaluru,12.9716,77.5946
31840,17:17:57,204.130.173.103,125.52.88.39,123,ICMP,Insecure Direct Object Reference on API,Critical,Network,0.96,Detected Insecure Direct Object Reference on API from external source,UNSW-NB15 (Modern Web & App Attacks),Germany,Frankfurt,50.1109,8.6821,United States,New York,40.7128,-74.006
40136,17:17:57,124.137.32.12,97.188.193.41,8080,DNS,SQL Injection,Critical,Endpoint,1.0,Detected SQL Injection from external source,Academic WAF Log Datasets (Sanitized),India,Bengaluru,12.9716,77.5946,Australia,Sydney,-33.8688,151.2093
95371,17:17:57,62.133.205.226,153.87.83.97,445,DNS,SQL Injection,Critical,Endpoint,0.99,Detected SQL Injection from internal source,SWaT & WADI ICS HTTP/API Traces,Singapore,Singapore,1.3521,103.8198,Japan,Tokyo,35.6895,139.6917
62064,17:17:57,63.47.75.81,19.13.135.247,80,ICMP,XSS Attempt,Critical,Network,1.0,Detected XSS Attempt from internal source,Academic WAF Log Datasets (Sanitized),Japan,Tokyo,35.6895,139.6917,India,Mumbai,19.076,72.8777
48554,17:17:57,198.20.105.95,133.71.73.183,80,HTTP,Mass Assignment in JSON API,Critical,Endpoint,0.89,Detected Mass Assignment in JSON API from external source,OWASP WebGoat Logs Dataset,Brazil,São Paulo,-23.5505,-46.6333,India,Mumbai,19.076,72.8777
79908,17:17:57,94.121.107.143,53.167.214.99,25,HTTPS,XSS Attempt,Critical,Endpoint,0.91,Detected XSS Attempt from external source,CERT Network Flow Data (API Misuse),India,Mumbai,19.076,72.8777,Singapore,Singapore,1.3521,103.8198
98460,17:17:57,248.254.148.160,88.247.68.49,25,TCP,API Authentication Brute Force,Critical,DNS,1.0,Detected API Authentication Brute Force from internal source,TON_IoT HTTP/REST Dataset,India,Bengaluru,12.9716,77.5946,Germany,Frankfurt,50.1109,8.6821
60524,17:17:57,197.112.172.65,191.152.57.206,443,HTTPS,API Authentication Brute Force,Critical,Email,1.0,Detected API Authentication Brute Force from external source,CIC-BELL-DNS 2021 (DNS Abuse & Routing),Germany,Frankfurt,50.1109,8.6821,Brazil,São Paulo,-23.5505,-46.6333
