id,timestamp,source_ip,dest_ip,port,protocol,threat_type,severity,attack_category,confidence,details,dataset,country,city,latitude,longitude,dest_country,dest_city,dest_latitude,dest_longitude
94319,14:53:07,66.125.67.102,85.70.242.178,3306,HTTP,Phishing,Critical,Email,1.0,Detected Phishing from external source,DShield / SANS Internet Storm Center Logs,United States,New York,40.7128,-74.006,South Africa,Johannesburg,-26.2041,28.0473
58327,14:53:07,82.104.90.117,57.245.129.205,443,HTTPS,DNS Tunneling,Critical,Web,0.95,Detected DNS Tunneling from internal source,FireHOL IP Blacklist Aggregator Feeds,South Africa,Johannesburg,-26.2041,28.0473,Germany,Frankfurt,50.1109,8.6821
94868,14:53:07,87.90.122.91,218.86.25.4,80,UDP,Man-in-the-Middle,Critical,Endpoint,0.93,Detected Man-in-the-Middle from external source,Abuse.ch Threat Feeds,United Kingdom,London,51.5074,-0.1278,Japan,Tokyo,35.6895,139.6917
40414,14:53:07,167.201.152.145,95.105.93.127,21,HTTPS,Botnet Activity,Critical,DNS,0.91,Detected Botnet Activity from external source,Shadowserver Foundation Public Datasets,Canada,Toronto,43.65107,-79.347015,Japan,Tokyo,35.6895,139.6917
40795,14:53:07,155.202.150.236,151.74.229.177,25,HTTP,Zero-Day Exploit,Critical,DNS,1.0,Detected Zero-Day Exploit from external source,Rapid7 Project Sonar,United States,New York,40.7128,-74.006,United States,New York,40.7128,-74.006
73168,14:53:07,89.143.155.82,148.45.245.49,123,HTTP,Man-in-the-Middle,Critical,Email,0.98,Detected Man-in-the-Middle from external source,GreyNoise Attack Source Intelligence,Germany,Frankfurt,50.1109,8.6821,United States,New York,40.7128,-74.006
69143,14:53:07,224.9.191.223,53.193.120.243,3306,ICMP,SQL Injection,Critical,Application,0.97,Detected SQL Injection from internal source,Rapid7 Project Sonar,Canada,Toronto,43.65107,-79.347015,United Kingdom,London,51.5074,-0.1278
90320,14:53:07,164.155.151.200,216.67.106.92,443,HTTP,Privilege Escalation,Critical,DNS,0.99,Detected Privilege Escalation from external source,CIRT Threat Intelligence Feeds,Germany,Frankfurt,50.1109,8.6821,India,Mumbai,19.076,72.8777
27658,14:53:07,215.136.139.92,174.173.102.85,80,HTTPS,DNS Tunneling,Critical,DNS,1.0,Detected DNS Tunneling from internal source,Spamhaus DROP / EDROP Threat Feeds,South Africa,Johannesburg,-26.2041,28.0473,Germany,Frankfurt,50.1109,8.6821
92549,14:53:07,234.184.247.26,29.208.106.205,3306,HTTPS,DNS Tunneling,Critical,DNS,1.0,Detected DNS Tunneling from external source,DShield / SANS Internet Storm Center Logs,Japan,Tokyo,35.6895,139.6917,Australia,Sydney,-33.8688,151.2093
