id,event_id,timestamp,source_ip,dest_ip,port,protocol,threat_type,severity,attack_category,confidence,details,dataset,country,city,latitude,longitude,dest_country,dest_city,dest_latitude,dest_longitude
1184,45366,13:53:34,202.248.88.130,22.65.80.240,21,ICMP,DNS Tunneling,Critical,DNS,0.89,Detected DNS Tunneling from internal source,DShield / SANS Internet Storm Center Logs,United States,New York,40.7128,-74.006,United States,New York,40.7128,-74.006
1183,47678,13:53:34,179.100.225.65,39.18.205.151,139,HTTPS,DNS Tunneling,Critical,Application,0.94,Detected DNS Tunneling from internal source,MAWI Packet Trace Archive,United States,San Francisco,37.7749,-122.4194,Canada,Toronto,43.65107,-79.347015
1182,99186,13:53:34,230.191.206.2,13.47.125.20,443,TCP,DDoS Attack,Critical,Application,1.0,Detected DDoS Attack from internal source,GreyNoise Attack Source Intelligence,Germany,Frankfurt,50.1109,8.6821,Canada,Toronto,43.65107,-79.347015
1181,17403,13:53:34,117.212.100.64,68.162.14.142,21,TCP,Port Scan,Critical,DNS,0.93,Detected Port Scan from internal source,Abuse.ch Threat Feeds,United Kingdom,London,51.5074,-0.1278,Brazil,São Paulo,-23.5505,-46.6333
1180,50262,13:53:34,53.107.254.191,56.123.171.99,139,HTTP,Ransomware,High,Application,0.84,Detected Ransomware from internal source,CAIDA UCSD Network Telescope,Canada,Toronto,43.65107,-79.347015,Germany,Frankfurt,50.1109,8.6821
1179,39001,13:53:34,232.55.244.105,190.83.112.88,3306,ICMP,Zero-Day Exploit,Critical,DNS,0.92,Detected Zero-Day Exploit from internal source,RIPE Atlas Measurement Data,India,Mumbai,19.076,72.8777,Singapore,Singapore,1.3521,103.8198
1178,95739,13:53:34,131.237.62.218,31.194.238.98,139,TCP,Zero-Day Exploit,Critical,Email,1.0,Detected Zero-Day Exploit from internal source,CAIDA UCSD Network Telescope,India,Bengaluru,12.9716,77.5946,Canada,Toronto,43.65107,-79.347015
1177,96836,13:53:34,224.74.162.230,113.123.251.151,8080,TCP,DNS Tunneling,Critical,Endpoint,0.99,Detected DNS Tunneling from internal source,CERT NetFlow & Incident Datasets,Germany,Frankfurt,50.1109,8.6821,United Kingdom,London,51.5074,-0.1278
1176,31062,13:53:34,72.37.154.135,223.104.100.159,25,ICMP,Port Scan,Critical,Endpoint,1.0,Detected Port Scan from internal source,DShield / SANS Internet Storm Center Logs,United Kingdom,London,51.5074,-0.1278,South Africa,Johannesburg,-26.2041,28.0473
1175,58007,13:53:32,248.132.137.246,12.170.25.46,21,TCP,Port Scan,Critical,Email,1.0,Detected Port Scan from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,Australia,Sydney,-33.8688,151.2093,Brazil,São Paulo,-23.5505,-46.6333
1174,65992,13:53:32,224.81.164.117,5.26.229.16,443,DNS,Zero-Day Exploit,High,DNS,0.84,Detected Zero-Day Exploit from internal source,Shadowserver Foundation Public Datasets,Brazil,São Paulo,-23.5505,-46.6333,Japan,Tokyo,35.6895,139.6917
1173,75889,13:53:32,185.136.62.69,44.97.81.153,80,HTTP,Phishing,Critical,Network,1.0,Detected Phishing from internal source,MAWI Packet Trace Archive,Japan,Tokyo,35.6895,139.6917,United Kingdom,London,51.5074,-0.1278
1172,78947,13:53:32,169.160.37.55,44.14.237.92,123,DNS,Port Scan,Critical,Endpoint,0.98,Detected Port Scan from internal source,DShield / SANS Internet Storm Center Logs,South Africa,Johannesburg,-26.2041,28.0473,Japan,Tokyo,35.6895,139.6917
1171,11191,13:53:32,3.134.254.21,165.246.117.54,80,ICMP,Zero-Day Exploit,Critical,DNS,0.93,Detected Zero-Day Exploit from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,Brazil,São Paulo,-23.5505,-46.6333,India,Mumbai,19.076,72.8777
1170,57651,13:53:32,105.27.106.37,201.213.125.246,53,HTTPS,Ransomware,Critical,Network,0.99,Detected Ransomware from internal source,Team Cymru Malware & ASN Intelligence,United Kingdom,London,51.5074,-0.1278,Canada,Toronto,43.65107,-79.347015
1169,38795,13:53:32,197.87.14.5,105.105.224.74,80,ICMP,Man-in-the-Middle,Critical,Web,1.0,Detected Man-in-the-Middle from internal source,Team Cymru Malware & ASN Intelligence,Australia,Sydney,-33.8688,151.2093,United States,New York,40.7128,-74.006
1168,94348,13:53:32,30.246.66.230,240.171.29.84,123,DNS,Man-in-the-Middle,Critical,Application,1.0,Detected Man-in-the-Middle from internal source,Team Cymru Malware & ASN Intelligence,Germany,Frankfurt,50.1109,8.6821,United States,New York,40.7128,-74.006
1167,77897,13:53:32,89.169.159.102,221.158.243.206,80,DNS,Phishing,Critical,Endpoint,0.97,Detected Phishing from external source,Shadowserver Foundation Public Datasets,India,Mumbai,19.076,72.8777,Australia,Sydney,-33.8688,151.2093
1166,70752,13:53:29,225.157.205.195,138.145.151.186,123,HTTP,Privilege Escalation,Critical,Endpoint,0.94,Detected Privilege Escalation from internal source,DShield / SANS Internet Storm Center Logs,Brazil,São Paulo,-23.5505,-46.6333,Japan,Tokyo,35.6895,139.6917
1165,58758,13:53:29,226.146.63.169,198.4.17.242,25,ICMP,DNS Tunneling,Critical,DNS,0.98,Detected DNS Tunneling from external source,RIPE Atlas Measurement Data,Germany,Frankfurt,50.1109,8.6821,India,Mumbai,19.076,72.8777
1164,66950,13:53:29,32.26.221.102,192.32.206.178,8080,ICMP,Port Scan,High,Endpoint,0.71,Detected Port Scan from internal source,GreyNoise Attack Source Intelligence,United States,San Francisco,37.7749,-122.4194,Australia,Sydney,-33.8688,151.2093
1163,84389,13:53:27,122.53.149.189,240.12.153.245,5432,HTTP,DDoS Attack,Critical,Network,0.85,Detected DDoS Attack from external source,CERT NetFlow & Incident Datasets,South Africa,Johannesburg,-26.2041,28.0473,India,Bengaluru,12.9716,77.5946
1162,20375,13:53:27,197.167.232.103,250.199.239.26,80,HTTPS,XSS Attempt,Critical,Email,0.96,Detected XSS Attempt from external source,RIPE Atlas Measurement Data,Germany,Frankfurt,50.1109,8.6821,United Kingdom,London,51.5074,-0.1278
1161,46109,13:53:27,129.250.174.166,161.145.184.174,443,HTTP,Port Scan,Critical,Email,0.98,Detected Port Scan from external source,Honeynet Project Honeypot Datasets,South Africa,Johannesburg,-26.2041,28.0473,United States,New York,40.7128,-74.006
1160,74119,13:53:27,204.52.216.131,122.103.49.109,53,DNS,Phishing,Critical,Endpoint,1.0,Detected Phishing from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,Singapore,Singapore,1.3521,103.8198,United States,San Francisco,37.7749,-122.4194
1159,43312,13:53:27,76.20.202.102,231.182.144.220,8080,DNS,Botnet Activity,Critical,Web,0.93,Detected Botnet Activity from internal source,FireHOL IP Blacklist Aggregator Feeds,United Kingdom,London,51.5074,-0.1278,Australia,Sydney,-33.8688,151.2093
1158,26146,13:53:27,91.236.91.223,141.202.155.247,8080,HTTPS,Phishing,Critical,Network,1.0,Detected Phishing from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,India,Mumbai,19.076,72.8777,United Kingdom,London,51.5074,-0.1278
